School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
Adlai Stevenson HS(XE) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Adlai Stevenson HS(XE) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,N/A,No Restraints,N,None,,,
Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,N/A,No Restraints,N,None,,,
Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,N,None,,,
Adlai Stevenson HS(XE) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,N/A,No Restraints,N,None,,,
ALC - August Martin HS@A. Martin HS (QS),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,N/A,No Restraints,N,None,,,
Alfred E. Smith Campus YABC(XW),Summons,On-Site,No,Full-Time,N,Y,Y,UTF,Metal,N,None,,DISORDERLY CONDUCT,V
ALL CITY LEADERSHIP SECONDARY SCHOOL(BN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
Alternate Learning Center of Prospect Place(BN),Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
Alternate Learning Center of Prospect Place(BN),Child in Crisis,On-Site,No,Hand Wand,N,Y,Y,PATROL,Metal,N,None,,,
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Mitigated,On-Site,No,Hand Wand,N,Y,Y,DOE,No Restraints,N,None,,,
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Mitigated,On-Site,No,Hand Wand,N,Y,Y,DOE,No Restraints,N,None,,,
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Child in Crisis,On-Site,No,Full-Time,N,N,Y,SSA,Metal,N,None,,,
Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
Andries Hudde JHS(BS),Mitigated,Off-Site,No,Non-Scanning,N,Y,N,DOE,No Restraints,N,None,,,
Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,N,DOE,No Restraints,N,None,,,
Andries Hudde JHS(BS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
Andries Hudde JHS(BS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
