Index,Name3,Team,Salary
278,Jaime Jaquez Jr.,Miami Heat,3510600
285,Jake LaRavia,Memphis Grizzlies,3199920
77,Jakob Poeltl,Toronto Raptors,19500000
52,Jalen Brunson,New York Knicks,26346666
252,Jalen Duren,Detroit Pistons,4330680
156,Jalen Green,Houston Rockets,9891480
274,Jalen Hood-Schifino,Los Angeles Lakers,3695040
297,Jalen Johnson,Atlanta Hawks,2925360
249,Jalen McDaniels,Toronto Raptors,4516000
385,Jalen Pickett,Denver Nuggets,2019706
223,Jalen Smith,Indiana Pacers,5604192
194,Jalen Suggs,Orlando Magic,7252080
246,Jalen Williams,Oklahoma City Thunder,4558680
456,Jalen Wilson,Brooklyn Nets,850000
32,Jamal Murray,Denver Nuggets,33833400
245,James Bouknight,Charlotte Hornets,4570080
28,James Harden,LA Clippers,35640000
457,James Johnson,Indiana Pacers,777703
125,James Wiseman,Detroit Pistons,12119400
215,Jarace Walker,Indiana Pacers,6059520
50,Jaren Jackson Jr.,Memphis Grizzlies,27102202
243,Jarred Vanderbilt,Los Angeles Lakers,4698000
75,Jarrett Allen,Cleveland Cavaliers,20000000
365,JaVale McGee,Sacramento Kings,2019706
475,Javon Freeman-Liberty,Toronto Raptors,289542
347,Jaxson Hayes,Los Angeles Lakers,2165000
41,Jaylen Brown,Boston Celtics,31830357
394,Jaylin Williams,Oklahoma City Thunder,2000000
39,Jayson Tatum,Boston Celtics,32600060
161,Jeff Green,Houston Rockets,9600000
49,Jerami Grant,Portland Trail Blazers,27586207
345,Jeremiah Robinson-Earl,New Orleans Pelicans,2196970
229,Jeremy Sochan,San Antonio Spurs,5316960
409,Jericho Sims,New York Knicks,1927896
235,Jett Howard,Orlando Magic,5026800
212,Jevon Carter,Chicago Bulls,6190476
11,Jimmy Butler,Miami Heat,45183960
183,Jock Landale,Houston Rockets,8000000
76,Joe Harris,Detroit Pistons,19928571
140,Joe Ingles,Orlando Magic,11000000
410,Joe Wieskamp,Dallas Mavericks,1927896
5,Joel Embiid,Philadelphia 76ers,46900000
55,John Collins,Utah Jazz,25340000
330,John Konchar,Memphis Grizzlies,2400000
234,Johnny Davis,Washington Wizards,5050800
104,Jonas Valanciunas,New Orleans Pelicans,15435000
90,Jonathan Isaac,Orlando Magic,17400000
216,Jonathan Kuminga,Golden State Warriors,6012840
61,Jordan Clarkson,Utah Jazz,23487629
254,Jordan Hawkins,New Orleans Pelicans,4310160
337,Jordan McLaughlin,Minnesota Timberwolves,2320000
292,Jordan Nwora,Toronto Raptors,3000000
48,Jordan Poole,Washington Wizards,27955357
450,Jordan Walsh,Boston Celtics,1119563
422,Jose Alvarado,New Orleans Pelicans,1836096
321,Josh Christopher,Miami Heat,2485200
202,Josh Giddey,Oklahoma City Thunder,6587040
242,Josh Green,Dallas Mavericks,4765339
115,Josh Hart,New York Knicks,12960000
434,Josh Minott,Minnesota Timberwolves,1719864
301,Josh Okogie,Phoenix Suns,2815937
298,Josh Richardson,Miami Heat,2891467
429,Joshua Primo,LA Clippers,1764341
23,Jrue Holiday,Boston Celtics,36861707
415,JT Thor,Charlotte Hornets,1836096
293,Julian Champagnie,San Antonio Spurs,3000000
438,Julian Phillips,Chicago Bulls,1600000
325,Julian Strawther,Denver Nuggets,2431080
47,Julius Randle,New York Knicks,28226880
386,Justin Holiday,Denver Nuggets,2019706
98,Jusuf Nurkic,Phoenix Suns,16875000
25,Karl-Anthony Towns,Minnesota Timberwolves,36016200
9,Kawhi Leonard,LA Clippers,45640084
177,Keegan Murray,Sacramento Kings,8409000
332,Keita Bates-Diop,Brooklyn Nets,2364614
