player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Joel Embiid,embiijo01,2020,2231,1047,1.223677342178922,3.348804706164942,4.572482048343863,-3.5522486106404,4.491258877035962,.9390102663955627,.3136869036877395,3.714818621234814,4.028505524922554,3.643270499034126,3.643270499034126,0,1.013493960078835,4.423307846540763,5.436801806619598,.6293468080486392
James Ennis III,ennisja01,2020,1616,760,-.0461797793350114,-.6203302059136824,-.6665099852486938,3.155021392535617,-3.074738206201583,.0802831863340345,.6260565469808507,-1.224869569060561,-.5988130220797102,.8347164991931041,.8347164991931041,0,-.1207999982429189,-.9197742709194856,-1.040574269162404,.0721084218424935
Drew Eubanks,eubandr01,2020,84,38,-2.570633872601973,-11.47374220026474,-14.04437607286672,-18.16180247725702,-18.54019027115704,-36.70199274841406,-5.98767342513147,-13.57000107108384,-19.55767449621531,-.3280257975483569,-.3280257975483569,0,-6.150145686088019,-12.48659542902949,-18.63674111511751,.6780566590239017
Jacob Evans,evansja02,2020,788,364,-4.974683216566933,-1.186893482915369,-6.161576699482302,-5.918030064075285,1.442462856157017,-4.475567207918268,-5.408292495285909,-.6586666623628638,-6.066959157648772,-.6184207989060548,-.6184207989060548,0,-5.632986527298899,-1.297475660091479,-6.930462187390377,.400712321045339
Dante Exum,exumda01,2020,780,372,-.7872220499980634,-1.464026709929341,-2.251248759927404,-7.705267224812624,1.524382588295609,-6.180884636517014,-2.237186460554704,-.8665613881909333,-3.103747848745638,-.0670817551265219,-.0670817551265219,0,-2.106664633867374,-2.083884366696158,-4.190549000563533,-.0734689600598075
Tacko Fall,fallta01,2020,52,23,-9.42473433311603,-2.243869312080486,-11.66860364519652,-7.957826864393112,7.7736352035775,-.1841916608156104,-9.74601083355217,-.3945464342135789,-10.14055726776575,-.08805329306041,-.08805329306041,0,-8.450719885261899,-2.797657249830917,-11.24837713509282,1.56259421755622
Derrick Favors,favorde01,2020,1604,749,.6839161175949278,1.155657645962263,1.839573763557191,5.251512079735377,.111296635883754,5.362808715619131,1.656084128778256,1.049975315011334,2.70605944378959,2.081095494190602,2.081095494190602,0,2.180138482504533,1.460810321859345,3.640948804363878,-.1899874597570193
Cristiano Felicio,feliccr01,2020,399,197,-1.725332016338929,-3.17118259725908,-4.896514613598009,2.836319079372863,-9.821871269350053,-6.98555218997719,-.8340557266623247,-4.782950780434412,-5.617006507096735,-.2844916733135158,-.2844916733135158,0,-2.405975586769493,-3.160846935564858,-5.56682252233435,-1.29938361208093
Terrance Ferguson,fergute01,2020,1908,935,-3.307297948132527,1.031170707082506,-2.276127241050022,-1.003134485604896,-4.075489940984448,-5.078624426589344,-3.039170463269777,.0146502664653551,-3.024520196804422,-.1299180420111446,-.1299180420111446,0,-3.542529326650131,1.246575709192273,-2.295953617457857,-.8090014089992618
Bruno Fernando,fernabr01,2020,1127,523,-3.176024630077233,.2439556313581094,-2.932068998719123,-1.650957062940825,3.779910689400915,2.128953626460089,-3.017008689885561,1.060841911598377,-1.956166778287184,.2120699720125332,.2120699720125332,0,-2.394531547092772,-.2549972049293584,-2.64952875202213,.1193732925352471
Yogi Ferrell,ferreyo01,2020,908,435,-.8801870137542941,1.54164086413451,.661453850380216,-4.504357928035595,3.090145291640158,-1.414212636395437,-1.661669211697854,1.984936752177658,.323267540479804,.6776939413354077,.6776939413354077,0,-1.721874951034892,.1403751714719987,-1.581499779562893,-.6549430884325169
