EnrStatus,Department,Year,YOG,Grade,CrsNo,Description,SecNo,T1AttTrmGr,T1Grd,T2AttTrmGr,T2Grd,T3AttTrmGr,T3Grd,T4AttTrmGr,T4Grd,Exam,FG,Credit,Credit.1,PotentialCredit,Term,TeacherNum
W07,,2017,2020,9,5811,Math 1 SIMMS  ACP,2,,B-,,B,,B,,B,B-,B,5,5,,FY,37
W07,MAT,2018,2020,10,5821,Math 2 SIMMS  ACP,2,,B-,,C-,,D,,C+,D-,C,5,5,,FY,9
W07,MAT,2019,2020,11,5831,Math 3 SIMMS  ACP,2,,C-,,B-,,C,,A-,B-,B-,5,5,,FY,20
W07,MAT,2020,2020,12,5191,Trigonometry & Statistics ACP,3,,A,,B-,,P,,,,A-,5,5,,FY,14
W07,MAT,2018,2021,9,5111,Math 1 ACP Acc,5,,B,,A,,B+,,B+,B,B+,5,5,,FY,48
W07,MAT,2019,2021,10,5021,Math 2 H,1,,B,,B+,,B,,A-,,B+,5,5,,FY,17
W07,MAT,2020,2021,11,5031,Math 3 (Pre-Calculus) H,7,,B,,B+,,P,,,,B,5,5,,FY,21
W07,MAT,2021,2021,12,5081,AP Calculus 4 AB,5,,A,,A,,A,,B,,A,5,5,,FY,13
W07,,2015,2017,10,5171,Math 2 ACP,,,A,,A,,A,,B+,A,A,5,5,,,1
W07,,2016,2017,11,5181,Math 3 ACP,5,,A,,A,,A-,,A,A,A,5,5,,FY,1
W07,,2017,2017,12,5191,Pre-Calculus ACP,2,,A,,A-,,A,,A,,A,5,5,,FY,9
W07,,2015,2018,9,5161,Math 1 ACP,,,A,,B+,,A,,A,B-,A-,5,5,,,1
W07,,2016,2018,10,5171,Math 2 ACP,2,,A,,A,,A,,A,A-,A,5,5,,FY,29
W07,,2017,2018,11,5181,Math 3 ACP,4,,A-,,B+,,A,,B,B+,A-,5,5,,FY,1
W07,MAT,2018,2018,12,5191,Pre-Calculus ACP,2,,A,,C+,,A-,,B,,B,5,5,,FY,14
Active,MAT,2022,2025,9,5011,Math 1 H,14,,,,,,C+,,C,,C+,5,12,,FY,3
Active,MAT,2022,2025,9,5012,Math 1 Accelerated/Honors,14,,B-,,B,,,,,,,5,,,FY,3
Active,MAT,2023,2025,10,5021,Math 2 H,14,Y,B-,Y,B+,Y,B,Y,B-,D-,B-,12,12,,FY,15
W07,,2015,2018,9,5111,Math 1 ACP Acc,,,A,,A,,A,,A-,A,A,5,5,,,1
W07,,2016,2018,10,5121,Math 2 ACP Acc,3,,A-,,A-,,A,,B+,A-,A-,5,5,,FY,36
W07,,2017,2018,11,5131,Math 3 ACP Acc,2,,B+,,A-,,A,,A,B+,A-,5,5,,FY,44
W07,MAT,2018,2018,12,5081,AP Calculus 4 AB,2,,A-,,A,,A-,,A-,,A-,5,5,,FY,13
W07,,2011,2015,9,5161,Math 1 I,,,A-,,A-,,B-,,B,B+,B+,5,5,,,1
W07,,2012,2015,10,5171,Math 2 ACP,,,A-,,B+,,A,,A-,A-,A-,5,5,,,1
W07,,2013,2015,11,5181,Math 3 ACP,,,A,,A,,A,,A-,B,A,5,5,,,1
W07,,2014,2015,12,5191,Pre-Calculus ACP,,,A,,A,,A,,A-,,A,5,5,,,1
Active,MAT,2023,2024,11,5181,Math 3 ACP,1,Y,B,Y,C-,Y,C+,Y,D+,C,C,12,12,,FY,4
Active,MAT,2023,2026,9,5161,Math 1 ACP,3,Y,B-,Y,C,Y,C-,Y,D-,F,D+,12,12,,FY,30
W07,,2011,2015,9,5111,Mathematics 1 Acc,,,A,,A,,A,,B+,A,A,5,5,,,1
W07,,2012,2015,10,5121,Math 2 ACP Acc,,,A,,A,,A,,A-,A,A,5,5,,,1
W07,,2013,2015,11,5131,Math 3 ACP Acc,,,B+,,A-,,A,,A,A-,A,5,5,,,1
W07,,2013,2016,9,5011,Math 1 H,,,B+,,A-,,A,,A,A,A,5,5,,,1
W07,,2014,2016,10,5021,Math 2 H,,,B+,,B+,,B+,,A-,A,A-,5,5,,,1
W07,,2015,2016,11,5031,Math 3 H,,,A,,A,,A,,A,A-,A,5,5,,,1
W07,,2016,2016,12,5041,AP Calculus 4 BC,1,,B+,,A-,,A,,A-,,A-,5,5,,FY,23
W07,MAT,2019,2022,9,5011,Math 1 H,6,,A,,A,,A,,A,A,A,5,5,,FY,29
W07,MAT,2020,2022,10,5021,Math 2 H,3,,A,,A,,P,,,,A,5,5,,FY,18
W07,MAT,2021,2022,11,5031,Math 3 (Pre-Calculus) H,5,,A,,A,,A,,A,,A,5,5,,FY,6
W07,MAT,2022,2022,12,5041,AP Calculus 4 BC,2,,A,,A,,A,,A,,A,5,5,,FY,6
W07,,2009,2012,9,5111,Mathematics 1 Acc,,,,,,,,,,,B-,5,5,,,1
W07,,2010,2012,10,5121,Mathematics 2 Acc,,,C-,,B-,,B-,,C+,C+,C+,5,5,,,1
W07,,2011,2012,11,5131,Mathematics 3 Acc,,,C,,B-,,C-,,D,D,C-,5,5,,,1
W07,,2012,2012,12,5141,Intro to Calculus ACP Acc,,,C,,C+,,C,,B-,,C+,5,5,,,1
W07,,2007,2010,9,5161,Math 1  I,,,,,,,,,,,B,5,5,,,1
W07,,2008,2010,10,5821,Math 2  I (Simms),,,,,,,,,,,C,5,5,,,1
W07,,2009,2010,11,5831,Math 3  I (Simms),,,,,,,,,,,C,5,5,,,1
W07,,2010,2010,12,5191,Precalculus I,,,C+,,A,,A-,,A-,A-,B+,5,5,,,1
Active,MAT,2022,2025,9,5011,Math 1 H,4,,,,,,A-,,A-,,A-,5,12,,FY,83
Active,MAT,2022,2025,9,5012,Math 1 Accelerated/Honors,4,,A-,,A,,,,,,,5,,,FY,84
Active,MAT,2023,2025,10,5021,Math 2 H,3,Y,A,Y,A,Y,B+,Y,B+,C,A-,12,12,,FY,7
Active,MAT,2023,2026,9,5161,Math 1 ACP,8,Y,B,Y,B,N,B-,Y,B,C+,B,12,12,,FY,43
W07,,2017,2020,9,5161,Math 1 ACP,3,,B+,,B,,A-,,A,B+,B+,5,5,,FY,1
W07,MAT,2018,2020,10,5821,Math 2 SIMMS  ACP,2,,A-,,A,,A,,A,B,A-,5,5,,FY,9
W07,MAT,2019,2020,11,5831,Math 3 SIMMS  ACP,1,,B,,A,,B+,,B,B,B+,5,5,,FY,18
W07,MAT,2020,2020,12,5841,Math SIMMS Pre-Calculus ACP,1,,B,,A,,P,,,,A-,5,5,,FY,18
W07,,2012,2016,9,5161,Math 1 ACP,,,C+,,D-,,D,,D+,C,C-,5,5,,,1
